grate11-1,grate11-2,grate11-3,grate11-4,grate8-1,grate8-2,grate8-3,grate4-1,grate4-2,grate4-3,grate4-4,grate1-1,grate1-2,grate12-1,grate12-2,grate0-1,grate0-2,grate0-3,grate0-4,grate8-4
571.58,569.43,568.77,567.32,567.96,568.0,561.09,560.54,560.85,555.55,558.39,548.29,550.77,583.51,570.83,549.07,548.04,547.39,546.74,567.82
571.58,569.42,568.76,567.33,567.95,568.02,561.11,560.51,560.85,555.55,558.38,548.28,550.78,583.52,570.83,549.07,548.07,547.4,546.74,567.8
571.58,569.41,568.75,567.34,567.95,567.99,561.13,560.49,560.84,555.55,558.38,548.27,550.78,583.53,570.83,549.06,548.1,547.41,546.74,567.78
571.58,569.4,568.74,567.35,567.94,567.94,561.14,560.46,560.84,555.55,558.37,548.26,550.79,583.54,570.83,549.06,548.11,547.41,546.75,567.76
571.58,569.39,568.72,567.35,567.93,567.9,561.16,560.43,560.83,555.55,558.36,548.25,550.79,583.55,570.83,549.06,548.08,547.39,546.75,567.74
571.58,569.38,568.71,567.36,567.92,567.85,561.18,560.41,560.83,555.55,558.36,548.25,550.8,583.56,570.83,549.05,548.05,547.38,546.75,567.72
571.58,569.37,568.7,567.37,567.92,567.81,561.2,560.38,560.83,555.55,558.35,548.24,550.8,583.57,570.83,549.05,548.02,547.36,546.75,567.7
571.57,569.37,568.69,567.38,567.91,567.76,561.22,560.35,560.82,555.55,558.34,548.23,550.81,583.58,570.83,549.04,547.99,547.35,546.75,567.68
571.56,569.36,568.67,567.39,567.9,567.72,561.24,560.33,560.82,555.55,558.34,548.22,550.8,583.59,570.83,549.04,547.96,547.33,546.75,567.66
571.55,569.35,568.66,567.39,567.9,567.67,561.25,560.3,560.82,555.54,558.33,548.21,550.79,583.59,570.83,549.03,547.93,547.32,546.76,567.64
571.54,569.34,568.65,567.4,567.9,567.63,561.27,560.27,560.81,555.54,558.32,548.2,550.79,583.6,570.83,549.03,547.9,547.3,546.76,567.62
571.53,569.33,568.64,567.41,567.91,567.58,561.29,560.25,560.81,555.54,558.32,548.19,550.78,583.61,570.83,549.02,547.87,547.29,546.76,567.6
571.52,569.32,568.62,567.42,567.92,567.54,561.31,560.22,560.8,555.54,558.31,548.19,550.78,583.62,570.82,549.02,547.84,547.27,546.76,567.58
571.51,569.31,568.61,567.43,567.93,567.49,561.33,560.19,560.8,555.56,558.3,548.18,550.77,583.63,570.81,549.02,547.81,547.26,546.77,567.56
571.5,569.3,568.61,567.43,567.93,567.45,561.35,560.17,560.8,555.58,558.3,548.17,550.77,583.64,570.8,549.01,547.78,547.24,546.77,567.54
571.49,569.29,568.61,567.44,567.94,567.41,561.36,560.14,560.79,555.59,558.3,548.16,550.76,583.65,570.79,549.01,547.75,547.23,546.77,567.52
571.48,569.29,568.62,567.45,567.95,567.36,561.38,560.14,560.78,555.61,558.3,548.15,550.75,583.66,570.78,549.0,547.72,547.21,546.78,567.5
571.47,569.29,568.62,567.45,567.95,567.32,561.4,560.15,560.77,555.63,558.3,548.14,550.75,583.67,570.77,549.0,547.69,547.2,546.78,567.48
571.46,569.29,568.63,567.45,567.96,567.27,561.42,560.15,560.75,555.64,558.3,548.14,550.74,583.67,570.76,548.99,547.66,547.18,546.78,567.47
571.45,569.29,568.63,567.44,567.97,567.23,561.44,560.16,560.74,555.66,558.3,548.13,550.74,583.67,570.75,548.99,547.63,547.17,546.78,567.45
571.44,569.29,568.64,567.44,567.98,567.18,561.46,560.17,560.73,555.67,558.3,548.12,550.73,583.67,570.74,548.98,547.6,547.15,546.79,567.43
571.43,569.29,568.65,567.43,567.98,567.14,561.47,560.18,560.71,555.69,558.3,548.11,550.73,583.67,570.74,548.98,547.58,547.14,546.79,567.41
571.42,569.29,568.65,567.42,567.99,567.09,561.49,560.19,560.7,555.71,558.3,548.1,550.72,583.68,570.73,548.97,547.55,547.12,546.79,567.39
571.41,569.29,568.66,567.42,568.0,567.05,561.51,560.2,560.69,555.72,558.31,548.09,550.71,583.68,570.72,548.97,547.52,547.11,546.8,567.37
571.4,569.29,568.66,567.41,568.01,567.0,561.53,560.21,560.67,555.74,558.31,548.09,550.71,583.68,570.71,548.96,547.49,547.09,546.8,567.35
571.39,569.29,568.67,567.41,568.01,566.96,561.55,560.21,560.66,555.76,558.31,548.08,550.7,583.68,570.7,548.96,547.46,547.08,546.8,567.33
571.38,569.29,568.68,567.4,568.02,566.91,561.57,560.22,560.65,555.77,558.31,548.07,550.7,583.68,570.69,548.95,547.43,547.06,546.8,567.31
571.36,569.29,568.68,567.39,568.03,566.87,561.58,560.23,560.64,555.79,558.31,548.06,550.69,583.68,570.68,548.95,547.4,547.05,546.81,567.29
571.35,569.29,568.69,567.39,568.03,566.82,561.6,560.24,560.62,555.81,558.31,548.05,550.69,583.69,570.67,548.95,547.37,547.03,546.81,567.27
571.34,569.29,568.69,567.38,568.04,566.78,561.62,560.25,560.61,555.82,558.31,548.04,550.68,583.69,570.66,548.94,547.34,547.02,546.81,567.25
571.33,569.29,568.7,567.37,568.05,566.73,561.64,560.26,560.6,555.84,558.31,548.03,550.67,583.69,570.65,548.94,547.31,547.0,546.82,567.23
571.32,569.29,568.7,567.37,568.06,566.69,561.66,560.27,560.58,555.86,558.31,548.03,550.67,583.69,570.64,548.93,547.28,546.99,546.82,567.21
571.31,569.29,568.71,567.36,568.06,566.64,561.68,560.27,560.57,555.87,558.31,548.02,550.66,583.69,570.64,548.93,547.25,546.97,546.82,567.19
571.3,569.29,568.72,567.36,568.07,566.6,561.69,560.28,560.56,555.89,558.31,548.01,550.66,583.69,570.63,548.92,547.22,546.96,546.82,567.17
571.29,569.29,568.72,567.35,568.08,566.55,561.71,560.29,560.54,555.91,558.31,548.0,550.65,583.7,570.62,548.92,547.19,546.94,546.83,567.15
571.28,569.29,568.73,567.34,568.09,566.51,561.73,560.3,560.53,555.92,558.31,547.99,550.65,583.7,570.61,548.91,547.16,546.93,546.83,567.13
571.27,569.29,568.73,567.34,568.09,566.46,561.75,560.31,560.52,555.94,558.31,547.98,550.64,583.7,570.6,548.91,547.13,546.91,546.83,567.11
571.26,569.29,568.74,567.33,568.1,566.42,561.77,560.32,560.5,555.95,558.31,547.98,550.63,583.7,570.59,548.9,547.1,546.9,546.83,567.1
571.25,569.29,568.75,567.33,568.11,566.37,561.79,560.33,560.49,555.97,558.31,547.97,550.63,583.7,570.58,548.9,547.07,546.88,546.84,567.08
571.24,569.29,568.75,567.32,568.12,566.33,561.8,560.33,560.48,555.99,558.31,547.96,550.62,583.7,570.57,548.89,547.04,546.87,546.84,567.06
571.23,569.29,568.76,567.31,568.12,566.28,561.82,560.34,560.46,556.0,558.31,547.95,550.62,583.71,570.56,548.89,547.01,546.85,546.84,567.04
571.22,569.29,568.76,567.31,568.13,566.24,561.84,560.35,560.45,556.02,558.31,547.94,550.61,583.71,570.55,548.88,546.98,546.84,546.85,567.02
571.21,569.29,568.77,567.3,568.14,566.19,561.86,560.36,560.44,556.04,558.31,547.93,550.61,583.71,570.55,548.88,546.95,546.82,546.85,566.99
571.2,569.29,568.77,567.29,568.14,566.15,561.88,560.37,560.42,556.05,558.31,547.93,550.6,583.71,570.54,548.87,546.92,546.81,546.85,567.0
571.19,569.29,568.78,567.29,568.15,566.1,561.89,560.38,560.41,556.07,558.32,547.92,550.59,583.71,570.53,548.87,546.89,546.79,546.85,567.0
571.18,569.29,568.79,567.28,568.16,566.06,561.91,560.39,560.4,556.09,558.32,547.91,550.59,583.71,570.52,548.87,546.86,546.78,546.86,567.01
571.17,569.29,568.79,567.28,568.17,566.01,561.93,560.39,560.38,556.1,558.32,547.9,550.58,583.72,570.51,548.86,546.83,546.76,546.86,567.01
571.16,569.29,568.8,567.27,568.17,565.97,561.95,560.4,560.37,556.12,558.32,547.89,550.58,583.72,570.5,548.86,546.8,546.75,546.86,567.02
571.15,569.29,568.8,567.26,568.18,565.92,561.97,560.41,560.36,556.14,558.32,547.88,550.57,583.72,570.49,548.85,546.77,546.74,546.87,567.02
571.14,569.29,568.81,567.26,568.19,565.88,561.99,560.42,560.34,556.15,558.32,547.87,550.57,583.72,570.48,548.85,546.74,546.72,546.87,567.03
571.13,569.29,568.81,567.25,568.2,565.83,562.0,560.43,560.33,556.17,558.32,547.87,550.56,583.72,570.47,548.84,546.71,546.71,546.87,567.03
571.12,569.29,568.82,567.25,568.2,565.79,562.02,560.44,560.32,556.19,558.32,547.86,550.55,583.72,570.46,548.84,546.68,546.69,546.87,567.04
571.11,569.29,568.83,567.24,568.21,565.73,562.04,560.44,560.3,556.2,558.32,547.85,550.55,583.73,570.46,548.83,546.65,546.68,546.88,567.05
571.1,569.29,568.83,567.23,568.22,565.76,562.06,560.45,560.29,556.22,558.32,547.84,550.54,583.73,570.45,548.83,546.62,546.66,546.88,567.05
571.08,569.29,568.84,567.23,568.23,565.83,562.08,560.46,560.28,556.23,558.32,547.83,550.54,583.73,570.44,548.82,546.59,546.65,546.88,567.06
571.07,569.29,568.84,567.22,568.23,565.89,562.1,560.47,560.26,556.25,558.32,547.82,550.53,583.73,570.43,548.82,546.56,546.64,546.89,567.06
571.06,569.29,568.85,567.21,568.24,565.96,562.11,560.48,560.25,556.27,558.32,547.82,550.53,583.73,570.42,548.81,546.56,546.63,546.89,567.07
571.05,569.29,568.86,567.21,568.25,566.03,562.13,560.49,560.24,556.28,558.32,547.81,550.52,583.73,570.41,548.81,546.56,546.62,546.89,567.07
571.04,569.29,568.86,567.2,568.25,566.1,562.15,560.5,560.22,556.3,558.32,547.8,550.51,583.74,570.4,548.8,546.56,546.61,546.89,567.08
571.04,569.29,568.87,567.2,568.26,566.16,562.17,560.5,560.21,556.32,558.32,547.79,550.51,583.74,570.39,548.8,546.56,546.6,546.9,567.08
571.04,569.29,568.87,567.19,568.27,566.23,562.19,560.51,560.2,556.33,558.32,547.78,550.51,583.74,570.38,548.79,546.56,546.59,546.9,567.09
571.03,569.29,568.88,567.18,568.28,566.3,562.21,560.52,560.18,556.35,558.32,547.77,550.5,583.74,570.37,548.78,546.56,546.58,546.88,567.09
571.03,569.29,568.88,567.18,568.28,566.37,562.11,560.53,560.17,556.37,558.32,547.77,550.5,583.74,570.36,548.77,546.56,546.57,546.87,567.1
571.03,569.29,568.89,567.17,568.29,566.43,562.02,560.54,560.16,556.39,558.32,547.76,550.5,583.74,570.36,548.76,546.56,546.56,546.85,567.11
571.02,569.29,568.9,567.17,568.3,566.5,561.92,560.55,560.14,556.4,558.32,547.75,550.49,583.75,570.35,548.75,546.57,546.55,546.84,567.11
571.02,569.29,568.91,567.16,568.31,566.57,561.82,560.56,560.13,556.4,558.33,547.75,550.49,583.75,570.35,548.75,546.57,546.54,546.83,567.12
571.01,569.29,568.93,567.15,568.31,566.63,561.72,560.57,560.11,556.41,558.33,547.75,550.49,583.75,570.34,548.74,546.57,546.53,546.81,567.12
571.01,569.29,568.95,567.15,568.32,566.7,561.62,560.57,560.11,556.42,558.33,547.75,550.48,583.75,570.34,548.73,546.57,546.52,546.8,567.13
571.01,569.3,568.97,567.14,568.33,566.77,561.52,560.58,560.12,556.42,558.33,547.75,550.48,583.75,570.33,548.72,546.57,546.51,546.78,567.13
571.0,569.3,568.99,567.14,568.34,566.84,561.43,560.59,560.13,556.43,558.33,547.75,550.48,583.75,570.33,548.71,546.57,546.5,546.77,567.14
571.0,569.31,569.0,567.14,568.35,566.9,561.33,560.6,560.14,556.44,558.33,547.75,550.48,583.76,570.32,548.7,546.57,546.49,546.75,567.14
570.99,569.32,569.02,567.15,568.37,566.97,561.23,560.61,560.15,556.44,558.33,547.75,550.47,583.76,570.32,548.69,546.57,546.48,546.74,567.15
570.99,569.32,569.04,567.15,568.39,567.04,561.13,560.62,560.16,556.45,558.33,547.75,550.47,583.76,570.31,548.69,546.57,546.48,546.72,567.16
570.99,569.33,569.06,567.16,568.4,567.11,561.03,560.63,560.18,556.45,558.33,547.75,550.47,583.76,570.31,548.68,546.57,546.47,546.71,567.16
570.98,569.33,569.08,567.16,568.42,567.17,560.93,560.64,560.19,556.46,558.33,547.75,550.46,583.76,570.3,548.67,546.57,546.46,546.69,567.17
570.98,569.34,569.1,567.16,568.44,567.24,560.84,560.65,560.2,556.47,558.33,547.75,550.46,583.76,570.3,548.66,546.58,546.45,546.68,567.17
570.97,569.35,569.11,567.17,568.45,567.31,560.74,560.66,560.21,556.47,558.33,547.75,550.46,583.73,570.29,548.65,546.58,546.44,546.67,567.18
570.97,569.35,569.13,567.17,568.47,567.37,560.64,560.67,560.22,556.48,558.33,547.75,550.45,583.63,570.28,548.64,546.58,546.43,546.65,567.18
570.97,569.36,569.15,567.17,568.49,567.44,560.54,560.68,560.23,556.49,558.33,547.75,550.45,583.53,570.28,548.63,546.58,546.42,546.64,567.19
570.96,569.36,569.17,567.18,568.5,567.51,560.44,560.69,560.24,556.49,558.33,547.75,550.45,583.43,570.27,548.63,546.58,546.41,546.62,567.19
570.96,569.37,569.19,567.18,568.52,567.58,560.34,560.7,560.25,556.5,558.33,547.75,550.44,583.33,570.27,548.62,546.58,546.4,546.61,567.2
570.96,569.38,569.2,567.18,568.54,567.64,560.25,560.71,560.26,556.51,558.33,547.75,550.44,583.24,570.26,548.61,546.58,546.39,546.59,567.2
570.95,569.38,569.22,567.19,568.55,567.71,560.15,560.72,560.27,556.51,558.33,547.75,550.44,583.14,570.26,548.6,546.58,546.38,546.58,567.21
570.95,569.39,569.24,567.19,568.57,567.78,560.05,560.73,560.28,556.52,558.33,547.75,550.43,583.04,570.25,548.59,546.58,546.37,546.56,567.22
570.94,569.39,569.26,567.2,568.59,567.85,559.95,560.74,560.29,556.52,558.33,547.75,550.43,582.94,570.25,548.58,546.58,546.36,546.55,567.22
570.94,569.4,569.28,567.2,568.6,567.93,559.83,560.75,560.3,556.53,558.33,547.75,550.43,582.84,570.24,548.57,546.59,546.35,546.54,567.23
570.94,569.41,569.3,567.2,568.62,567.87,559.87,560.76,560.31,556.54,558.34,547.75,550.42,582.74,570.24,548.57,546.59,546.34,546.52,567.23
570.93,569.41,569.31,567.21,568.64,567.73,559.96,560.77,560.33,556.54,558.34,547.75,550.42,582.64,570.23,548.56,546.59,546.33,546.51,567.24
570.93,569.42,569.33,567.21,568.65,567.59,560.05,560.78,560.34,556.55,558.34,547.75,550.42,582.54,570.23,548.55,546.59,546.32,546.49,567.24
570.92,569.42,569.35,567.21,568.67,567.46,560.14,560.79,560.35,556.56,558.34,547.75,550.41,582.45,570.22,548.54,546.59,546.31,546.48,567.25
570.92,569.43,569.37,567.22,568.69,567.32,560.22,560.8,560.36,556.56,558.34,547.75,550.41,582.35,570.22,548.53,546.59,546.3,546.46,567.25
570.92,569.44,569.39,567.22,568.71,567.18,560.31,560.81,560.37,556.57,558.34,547.75,550.41,582.25,570.21,548.52,546.59,546.29,546.45,567.26
570.91,569.44,569.4,567.23,568.72,567.04,560.4,560.82,560.38,556.57,558.34,547.75,550.4,582.15,570.21,548.51,546.59,546.28,546.43,567.27
570.91,569.45,569.42,567.23,568.74,566.9,560.49,560.83,560.39,556.58,558.34,547.75,550.4,582.05,570.2,548.51,546.59,546.27,546.42,567.27
570.9,569.46,569.44,567.23,568.76,566.77,560.58,560.84,560.4,556.59,558.34,547.75,550.4,581.95,570.2,548.5,546.59,546.26,546.4,567.28
570.9,569.46,569.46,567.24,568.77,566.63,560.67,560.85,560.41,556.59,558.34,547.75,550.39,581.85,570.19,548.49,546.59,546.25,546.39,567.28
570.9,569.47,569.48,567.24,568.79,566.49,560.76,560.86,560.42,556.6,558.34,547.75,550.39,581.76,570.19,548.48,546.6,546.24,546.38,567.29
570.89,569.47,569.49,567.24,568.81,566.35,560.84,560.87,560.43,556.61,558.34,547.75,550.39,581.66,570.18,548.47,546.6,546.23,546.36,567.29
570.89,569.48,569.51,567.25,568.82,566.21,560.93,560.88,560.44,556.61,558.34,547.75,550.38,581.56,570.18,548.46,546.6,546.22,546.35,567.3
570.89,569.49,569.53,567.25,568.84,566.07,561.02,560.89,560.45,556.62,558.34,547.75,550.38,581.46,570.17,548.46,546.6,546.21,546.33,567.3
570.88,569.49,569.55,567.25,568.86,565.94,561.11,560.9,560.46,556.63,558.34,547.75,550.38,581.34,570.16,548.45,546.6,546.2,546.32,567.31
570.88,569.5,569.57,567.26,568.87,565.76,561.2,560.91,560.47,556.63,558.34,547.75,550.37,581.33,570.16,548.44,546.6,546.19,546.3,567.31
570.87,569.5,569.59,567.26,568.89,565.76,561.29,560.92,560.49,556.64,558.34,547.75,550.37,581.43,570.15,548.43,546.6,546.19,546.29,567.32
570.87,569.51,569.6,567.27,568.91,565.85,561.38,560.93,560.5,556.64,558.34,547.75,550.37,581.53,570.15,548.42,546.6,546.17,546.27,567.33
570.87,569.52,569.62,567.27,568.92,565.93,561.46,560.94,560.51,556.65,558.34,547.75,550.36,581.63,570.14,548.41,546.6,546.17,546.26,567.33
570.86,569.52,569.64,567.27,568.94,566.02,561.55,560.95,560.52,556.66,558.34,547.75,550.36,581.73,570.14,548.4,546.6,546.2,546.24,567.34
570.86,569.53,569.66,567.28,568.96,566.11,561.64,560.96,560.53,556.66,558.34,547.75,550.36,581.83,570.13,548.4,546.6,546.23,546.23,567.36
570.85,569.53,569.68,567.28,568.97,566.19,561.73,560.97,560.54,556.67,558.35,547.75,550.36,581.93,570.13,548.39,546.61,546.25,546.22,567.37
570.85,569.54,569.69,567.28,568.99,566.28,561.82,560.98,560.55,556.68,558.35,547.75,550.35,582.03,570.12,548.38,546.61,546.28,546.2,567.39
570.86,569.55,569.71,567.29,569.01,566.37,561.91,560.99,560.56,556.68,558.35,547.75,550.35,582.12,570.12,548.37,546.62,546.31,546.19,567.4
570.87,569.55,569.73,567.29,569.02,566.45,562.0,561.0,560.57,556.69,558.35,547.75,550.35,582.22,570.11,548.37,546.64,546.34,546.17,567.42
570.88,569.56,569.75,567.29,569.04,566.54,562.09,561.01,560.58,556.7,558.35,547.75,550.34,582.32,570.11,548.39,546.67,546.37,546.16,567.43
570.89,569.56,569.77,567.3,569.06,566.63,562.17,561.02,560.59,556.7,558.35,547.75,550.36,582.42,570.1,548.4,546.69,546.39,546.14,567.45
570.91,569.57,569.79,567.3,569.08,566.71,562.26,561.03,560.6,556.71,558.35,547.75,550.37,582.52,570.1,548.42,546.71,546.42,546.16,567.46
570.92,569.58,569.8,567.31,569.09,566.8,562.37,561.04,560.61,556.71,558.35,547.75,550.39,582.62,570.1,548.44,546.74,546.45,546.17,567.48
570.93,569.58,569.82,567.31,569.11,566.89,562.3,561.05,560.62,556.72,558.35,547.75,550.4,582.72,570.12,548.46,546.76,546.48,546.18,567.49
570.94,569.59,569.81,567.31,569.13,566.97,562.18,561.06,560.64,556.73,558.35,547.76,550.42,582.81,570.14,548.47,546.78,546.5,546.2,567.51
570.95,569.6,569.8,567.32,569.14,567.06,562.07,561.07,560.65,556.73,558.35,547.78,550.43,582.91,570.16,548.49,546.81,546.53,546.21,567.52
570.97,569.6,569.78,567.32,569.16,567.15,561.95,561.08,560.66,556.74,558.35,547.79,550.45,583.01,570.19,548.51,546.83,546.56,546.22,567.54
570.98,569.61,569.77,567.32,569.18,567.23,561.84,561.09,560.68,556.73,558.35,547.8,550.46,583.11,570.21,548.53,546.85,546.59,546.24,567.56
570.99,569.62,569.75,567.33,569.19,567.32,561.72,561.09,560.69,556.73,558.35,547.82,550.48,583.21,570.23,548.54,546.88,546.62,546.25,567.57
571.0,569.63,569.74,567.33,569.21,567.41,561.61,561.1,560.71,556.73,558.35,547.83,550.49,583.31,570.25,548.56,546.9,546.64,546.26,567.59
571.01,569.63,569.72,567.34,569.23,567.49,561.5,561.11,560.72,556.72,558.35,547.84,550.51,583.41,570.27,548.58,546.92,546.67,546.28,567.6
571.03,569.64,569.71,567.34,569.24,567.58,561.38,561.11,560.74,556.72,558.35,547.85,550.52,583.5,570.3,548.59,546.95,546.7,546.29,567.62
571.04,569.65,569.69,567.35,569.26,567.67,561.27,561.12,560.75,556.72,558.35,547.87,550.54,583.6,570.32,548.61,546.97,546.73,546.3,567.63
571.05,569.66,569.68,567.36,569.28,567.75,561.15,561.13,560.76,556.71,558.35,547.88,550.56,583.7,570.34,548.63,546.99,546.76,546.32,567.65
571.06,569.67,569.66,567.36,569.29,567.84,561.04,561.13,560.78,556.71,558.35,547.89,550.57,583.8,570.36,548.65,547.02,546.78,546.33,567.66
571.07,569.68,569.65,567.37,569.31,567.95,560.92,561.14,560.79,556.71,558.35,547.9,550.59,583.9,570.38,548.66,547.04,546.81,546.34,567.68
571.09,569.68,569.63,567.38,569.33,567.97,560.81,561.15,560.81,556.7,558.36,547.92,550.6,584.0,570.41,548.68,547.06,546.84,546.36,567.69
